date,duration,T,Tmax,Tmin,Rg,Ri_PAR_f,Rh_min,Rh_max,Precipitations,Wind,Rh
2011-04-28,1 day,25.8,31.3,24.0,4.224,4.224,62.0,97.5,4.0,0.5,0.1775
2011-04-29,1 day,26.4,33.7,23.2,7.247999999999999,7.247999999999999,49.5,97.5,5.0,0.4,0.24
2011-04-30,1 day,27.3,33.9,23.7,8.879999999999999,8.879999999999999,48.0,97.5,32.0,0.7,0.2475
2011-05-01,1 day,26.9,33.2,23.2,7.344,7.344,51.5,97.5,15.0,0.5,0.23
2011-05-02,1 day,26.3,33.5,22.1,8.016,8.016,47.5,98.0,2.0,0.4,0.2525
2011-05-03,1 day,27.3,33.8,22.2,8.064,8.064,49.5,98.0,42.0,0.5,0.2425
2011-05-04,1 day,26.9,33.7,22.0,8.208,8.208,51.0,97.5,0.0,0.5,0.2325
2011-05-05,1 day,28.3,34.7,24.1,8.735999999999999,8.735999999999999,46.0,97.5,5.0,0.5,0.2575
2011-05-06,1 day,25.7,31.1,23.1,6.335999999999999,6.335999999999999,53.0,97.5,0.0,0.6,0.2225
2011-05-07,1 day,27.2,34.4,22.5,8.304,8.304,44.0,97.5,0.0,0.6,0.2675
2011-05-08,1 day,27.6,34.9,22.8,8.975999999999999,8.975999999999999,40.5,97.5,0.0,0.4,0.285
2011-05-09,1 day,28.5,35.2,24.3,8.111999999999998,8.111999999999998,40.5,97.5,0.0,0.4,0.285
2011-05-10,1 day,28.7,35.6,24.1,9.696,9.696,41.5,97.5,0.0,0.4,0.28
2011-05-11,1 day,28.2,34.5,23.9,8.208,8.208,44.5,97.5,0.0,0.4,0.265
2011-05-12,1 day,28.6,34.2,24.7,8.928,8.928,46.5,97.5,0.0,0.6,0.255
2011-05-13,1 day,28.2,34.8,24.4,8.544,8.544,43.5,97.0,5.0,0.5,0.2675
2011-05-14,1 day,27.0,32.9,23.4,7.295999999999999,7.295999999999999,54.0,97.5,28.0,0.5,0.2175
2011-05-15,1 day,27.8,34.4,23.1,9.36,9.36,41.5,97.5,0.0,0.6,0.28
2011-05-16,1 day,27.9,34.0,23.8,9.12,9.12,41.0,97.0,0.0,0.6,0.28
2011-05-17,1 day,27.7,35.1,23.8,8.64,8.64,41.5,97.0,2.0,0.6,0.2775
2011-05-18,1 day,27.8,33.7,23.7,9.552,9.552,44.5,97.0,0.0,0.6,0.2625
2011-05-19,1 day,27.6,35.3,23.0,8.4,8.4,33.0,97.0,0.0,0.4,0.32
2011-05-20,1 day,26.3,32.9,23.0,5.568,5.568,53.5,97.0,0.0,0.5,0.2175
2011-05-21,1 day,26.5,32.6,22.5,6.192,6.192,54.0,97.0,0.0,0.6,0.215
2011-05-22,1 day,27.5,33.9,23.7,8.4,8.4,45.0,97.0,0.0,0.7,0.26
2011-05-23,1 day,27.6,34.8,23.4,9.744,9.744,42.0,97.0,0.0,0.6,0.275
2011-05-24,1 day,28.0,35.1,23.9,9.072,9.072,39.5,97.0,0.0,0.5,0.2875
2011-05-25,1 day,26.3,30.4,23.4,4.464,4.464,63.5,97.0,0.0,0.4,0.1675
2011-05-26,1 day,27.8,33.9,23.9,7.968,7.968,44.5,97.0,8.0,0.4,0.2625
2011-05-27,1 day,27.2,34.5,22.6,7.008,7.008,48.5,97.0,0.0,0.5,0.2425
2011-05-28,1 day,27.3,34.7,24.7,8.256,8.256,48.0,97.0,0.0,0.6,0.245
2011-05-29,1 day,27.3,32.9,23.6,7.199999999999999,7.199999999999999,52.5,97.0,0.0,0.5,0.2225
