Site,Date,Tmin,Tmax,Taverage,Rh_min,Rh_max,Rh_average,Wind,Precipitations,Rg,Ri_PAR_f
PR,2015-10-16,23.6,32.9,27.4,75.0,98.0,89.67,0.37,1.16,17.12,8.217600000000001
PR,2015-10-17,23.8,32.7,26.89,73.0,98.0,91.13,0.37,0.0,14.73,7.0704
PR,2015-10-18,23.6,32.5,26.65,75.0,99.0,91.75,0.19,0.0,14.59,7.0032
PR,2015-10-19,22.7,33.6,25.79,73.0,99.0,92.88,0.15,6.13,12.16,5.8368
PR,2015-10-20,22.2,33.0,24.93,76.0,99.0,94.46,0.17,6.33,12.74,6.1152
PR,2015-10-21,22.2,33.2,25.96,74.0,99.0,93.58,0.15,0.0,13.66,6.5568
PR,2015-10-22,23.2,31.8,26.63,74.0,99.0,90.04,0.35,0.0,15.2,7.295999999999999
PR,2015-10-23,23.1,33.0,25.98,71.0,99.0,93.67,0.19,6.33,10.1,4.848
PR,2015-10-24,23.5,31.8,25.48,78.0,99.0,95.63,0.19,5.03,9.45,4.536
PR,2015-10-25,23.6,33.2,27.61,74.0,97.0,88.08,0.44,12.43,18.11,8.6928
PR,2015-10-26,22.8,33.1,27.21,66.0,98.0,88.67,0.87,7.33,16.6,7.968
PR,2015-10-27,22.7,31.1,25.3,78.0,98.0,91.71,0.11,31.13,10.05,4.824
PR,2015-10-28,22.6,30.6,25.57,79.0,99.0,93.91,0.07,26.23,11.41,5.4768
PR,2015-10-29,22.8,28.9,25.35,85.0,99.0,94.58,0.0,9.6,7.36,3.5328
PR,2015-10-30,22.3,32.8,27.24,66.0,99.0,86.71,0.0,0.0,19.84,9.5232
PR,2015-10-31,24.2,33.8,26.93,68.0,98.0,88.91,0.019,13.33,14.56,6.9888
PR,2015-11-01,23.6,32.3,25.79,73.0,98.0,92.79,0.06,32.17,11.43,5.4864
PR,2015-11-02,22.0,29.6,24.9,81.0,99.0,93.54,0.35,15.1,13.3,6.384
PR,2015-11-03,23.0,32.5,26.54,70.0,99.0,89.63,0.0,0.17,13.08,6.2783999999999995
PR,2015-11-04,22.7,34.9,27.26,55.0,99.0,86.88,0.074,0.0,18.69,8.9712
PR,2015-11-05,22.5,33.6,26.9,72.0,99.0,89.17,0.222,0.0,13.75,6.6
PR,2015-11-06,23.7,32.3,26.56,67.0,94.0,88.29,0.611,0.0,14.78,7.094399999999999
PR,2015-11-07,23.1,32.4,25.94,71.0,94.0,89.04,0.833,1.87,14.96,7.1808000000000005
PR,2015-11-08,21.9,32.1,25.48,69.0,94.0,90.13,0.611,0.0,13.52,6.489599999999999
PR,2015-11-09,23.2,31.9,26.53,70.0,94.0,87.75,0.648,0.0,16.87,8.0976
PR,2015-11-10,23.8,30.5,26.49,79.0,94.0,89.75,0.556,0.0,9.18,4.4064
PR,2015-11-11,23.5,33.2,27.12,60.0,94.0,85.21,0.407,0.0,15.58,7.4784
PR,2015-11-12,23.4,34.5,28.19,58.0,99.0,84.33,0.056,0.0,18.63,8.9424
PR,2015-11-13,22.8,35.1,27.88,54.0,99.0,85.42,0.20691121139835403,0.0,18.71,8.9808
PR,2015-11-14,23.4,34.1,27.25,62.0,99.0,88.7,0.07,0.0,14.05,6.744
PR,2015-11-15,22.6,34.1,25.73,65.0,99.0,91.63,0.28,4.07,12.85,6.167999999999999
PR,2015-11-16,22.1,34.0,27.13,62.0,99.0,87.54,0.20691121139835403,0.0,17.04,8.1792
PR,2015-11-17,23.2,34.4,27.57,59.0,99.0,86.96,0.02,0.0,16.08,7.718399999999999
PR,2015-11-18,22.9,35.1,27.68,55.0,99.0,85.21,0.20691121139835403,0.0,18.32,8.7936
PR,2015-11-19,22.7,34.5,27.03,57.0,99.0,87.83,0.20691121139835403,0.0,14.15,6.792
PR,2015-11-20,23.0,33.6,27.4,63.0,99.0,87.58,0.04,0.0,15.85,7.608
PR,2015-11-21,23.3,34.7,27.65,56.0,99.0,86.25,0.02,0.0,15.75,7.56
PR,2015-11-22,23.0,34.8,27.62,54.0,99.0,86.21,0.20691121139835403,0.0,16.37,7.857600000000001
PR,2015-11-23,23.8,34.9,27.96,54.0,98.0,83.33,1.03,0.0,16.09,7.723199999999999
PR,2015-11-24,23.0,34.9,27.7,58.0,99.0,86.71,0.20691121139835403,0.0,15.0,7.199999999999999
PR,2015-11-25,23.3,34.8,27.94,58.0,98.0,85.29,0.20691121139835403,0.0,17.03,8.1744
PR,2015-11-26,23.1,35.4,27.8,53.0,99.0,85.42,0.06,0.0,18.3,8.784
PR,2015-11-27,22.3,34.3,27.44,67.0,99.0,86.58,0.37,0.0,16.69,8.0112
PR,2015-11-28,22.9,35.9,27.53,55.0,98.0,85.38,0.17,0.0,17.34,8.3232
PR,2015-11-29,21.9,35.1,27.09,62.0,99.0,88.58,0.2,0.0,16.26,7.8048
PR,2015-11-30,23.2,34.5,27.23,63.0,99.0,87.96,0.11,0.0,14.51,6.964799999999999
PR,2015-12-01,22.9,35.1,27.15,62.0,98.0,87.08,0.093,13.4,15.507,7.443359999999999
PR,2015-12-02,22.8,32.1,26.32,57.0,99.0,86.92,0.13,1.8,12.546,6.02208
PR,2015-12-03,20.4,31.1,24.84,53.0,97.0,81.58,0.204,0.0,14.096,6.76608
PR,2015-12-04,19.7,31.5,24.56,44.0,96.0,78.5,0.204,0.0,14.64,7.0272
PR,2015-12-05,19.2,32.3,24.48,42.0,97.0,79.0,0.037,0.0,14.935,7.1688
PR,2015-12-06,18.3,32.4,23.79,46.0,97.0,79.7,0.259,0.0,15.831,7.598879999999999
PR,2015-12-07,16.5,32.9,23.78,34.0,98.0,74.38,0.13,0.0,17.519,8.40912
PR,2015-12-08,15.4,33.6,23.35,35.0,98.0,74.67,0.259,0.0,17.608,8.45184
PR,2015-12-09,17.2,34.2,24.1,36.0,98.0,78.17,0.037,0.0,16.259,7.80432
PR,2015-12-10,17.8,34.1,24.38,35.0,96.0,76.38,0.13,0.0,16.45,7.895999999999999
PR,2015-12-11,16.1,33.9,23.78,31.0,98.0,75.54,0.13,0.0,16.856,8.09088
PR,2015-12-12,17.1,34.3,24.2,30.0,93.0,71.83,0.074,0.0,16.931,8.12688
PR,2015-12-13,15.6,34.6,23.71,27.0,98.0,73.71,0.019,0.0,16.921,8.122079999999999
PR,2015-12-14,15.6,34.4,23.38,26.0,98.0,72.88,0.111,0.0,16.842,8.084159999999999
PR,2015-12-15,13.6,34.6,22.89,26.0,98.0,73.04,0.222,0.0,17.5,8.4
PR,2015-12-16,13.7,34.9,22.97,22.0,98.0,68.96,0.389,0.0,17.986,8.63328
PR,2015-12-17,13.9,34.2,23.13,20.0,98.0,70.54,0.13,0.0,17.19,8.2512
PR,2015-12-18,15.1,33.1,23.25,26.0,97.0,70.46,0.148,0.0,13.189,6.3307199999999995
PR,2015-12-19,17.0,34.7,24.24,24.0,96.0,69.75,0.148,0.0,15.878,7.62144
PR,2015-12-20,15.2,34.3,23.63,25.0,97.0,71.46,0.074,0.0,15.766,7.567679999999999
PR,2015-12-21,16.1,34.5,23.75,26.0,96.0,70.04,0.167,0.0,15.636,7.505279999999999
PR,2015-12-22,14.3,33.7,22.79,25.0,97.0,68.33,0.502,0.0,15.55,7.464
PR,2015-12-23,13.6,33.3,22.53,28.0,97.0,69.46,0.259,0.0,15.617,7.49616
PR,2015-12-24,16.3,33.6,23.32,25.0,95.0,66.92,0.241,0.0,16.4,7.871999999999999
PR,2015-12-25,17.2,33.3,23.78,27.0,91.0,65.92,0.352,0.0,15.007,7.20336
PR,2015-12-26,16.0,34.2,23.87,28.0,96.0,68.0,0.259,0.0,14.888,7.14624
PR,2015-12-27,15.9,34.8,24.28,25.0,97.0,68.25,0.259,0.0,15.546,7.462079999999999
PR,2015-12-28,15.9,35.8,24.5,24.0,97.0,71.74,0.074,0.0,16.773,8.05104
PR,2015-12-29,16.2,36.8,24.55,23.0,97.0,72.79,0.111,0.0,16.752,8.040959999999998
PR,2015-12-30,16.9,34.9,24.43,35.0,97.0,76.83,0.111,0.0,15.957,7.65936
PR,2015-12-31,18.4,34.1,25.25,51.0,98.0,82.79,0.13,0.0,14.426,6.92448
PR,2016-01-01,18.6,34.6,24.97,31.0,97.0,74.04,0.17,0.0,14.55,6.984
PR,2016-01-02,14.7,35.4,23.85,21.0,96.0,65.88,0.48,0.0,17.16,8.2368
PR,2016-01-03,15.4,34.3,23.65,24.0,96.0,67.63,0.45,0.0,13.92,6.6815999999999995
PR,2016-01-04,14.7,35.2,23.93,25.0,96.0,65.96,0.33,0.0,16.87,8.0976
PR,2016-01-05,16.9,33.8,24.15,41.0,96.0,75.5,0.11,0.0,13.9,6.672
PR,2016-01-06,19.2,33.6,25.07,53.0,98.0,83.54,0.17,0.0,12.97,6.2256
PR,2016-01-07,18.0,34.7,25.13,50.0,98.0,82.38,0.19,0.0,14.35,6.888
PR,2016-01-08,19.3,34.1,26.02,60.0,98.0,85.17,0.22,0.0,13.91,6.6768
PR,2016-01-09,22.2,34.2,26.96,61.0,98.0,86.83,0.22,0.0,11.79,5.659199999999999
PR,2016-01-10,22.7,33.9,27.15,66.0,98.0,87.54,0.19,0.0,10.8,5.184
PR,2016-01-11,22.5,35.5,27.87,55.0,98.0,84.29,0.28,0.0,14.34,6.8831999999999995
PR,2016-01-12,22.3,36.2,27.84,43.0,98.0,81.71,0.2,0.0,14.94,7.1712
PR,2016-01-13,21.7,34.7,27.11,56.0,98.0,84.58,0.15,0.0,11.57,5.5536
PR,2016-01-14,22.0,35.1,27.39,49.0,98.0,83.71,0.04,0.0,13.38,6.4224000000000006
PR,2016-01-15,22.0,34.3,27.01,54.0,98.0,84.92,0.20691121139835403,0.0,13.07,6.2736
PR,2016-01-16,22.9,33.8,27.18,63.0,98.0,87.13,0.43,0.0,11.7,5.616
PR,2016-01-17,22.9,34.7,27.77,60.0,98.0,86.58,0.20691121139835403,0.0,12.28,5.894399999999999
PR,2016-01-18,23.5,34.6,27.02,65.0,98.0,88.38,0.04,0.0,9.52,4.569599999999999
PR,2016-01-19,22.7,33.7,26.81,70.0,99.0,89.17,0.20691121139835403,0.0,10.75,5.16
PR,2016-01-20,21.1,35.6,26.39,30.0,99.0,79.13,0.02,0.0,15.37,7.377599999999999
PR,2016-01-21,19.7,35.6,26.02,33.0,98.0,80.71,0.11,0.0,14.24,6.8351999999999995
PR,2016-01-22,21.2,31.5,25.16,72.0,98.0,91.46,0.07,0.0,7.07,3.3936
PR,2016-01-23,21.1,34.7,26.66,48.0,99.0,82.54,0.09,0.0,13.92,6.6815999999999995
PR,2016-01-24,20.3,35.0,25.63,22.0,99.0,75.38,0.13,0.0,12.28,5.894399999999999
PR,2016-01-25,16.1,34.8,24.38,17.0,92.0,59.58,0.48,0.0,12.35,5.928
PR,2016-01-26,16.0,33.9,23.91,19.0,95.0,61.58,0.47,0.0,12.79,6.1392
PR,2016-01-27,17.8,34.9,24.76,20.0,92.0,57.29,0.39,0.0,13.32,6.3936
PR,2016-01-28,16.7,35.6,24.88,19.0,94.0,60.63,0.35,0.0,13.82,6.6335999999999995
PR,2016-01-29,16.9,35.2,24.65,17.0,93.0,59.04,0.41,0.0,12.69,6.0912
PR,2016-01-30,15.0,35.7,24.29,16.0,93.0,58.04,0.37,0.0,14.2,6.816
PR,2016-01-31,16.6,34.3,24.19,27.0,94.0,67.13,0.06,0.0,11.13,5.3424000000000005
PR,2016-02-01,17.2,32.6,23.86,42.0,95.0,76.38,0.13,0.0,11.16,5.3568
PR,2016-02-02,18.0,34.3,25.36,52.0,97.0,80.96,0.111,0.0,12.293,5.900639999999999
PR,2016-02-03,22.0,34.3,26.84,53.0,98.0,83.33,0.204,0.0,12.304,5.90592
PR,2016-02-04,21.5,34.8,26.97,61.0,98.0,84.46,0.296,0.0,12.948,6.21504
PR,2016-02-05,22.9,35.5,27.78,55.0,98.0,82.25,0.222,0.0,13.473,6.46704
PR,2016-02-06,22.5,36.2,27.85,51.0,98.0,82.0,0.241,0.0,13.596,6.526079999999999
PR,2016-02-07,22.0,35.7,27.6,45.0,98.0,79.67,0.259,0.0,13.398,6.431039999999999
PR,2016-02-08,22.4,35.3,27.8,55.0,98.0,81.67,0.185,0.0,12.203,5.8574399999999995
PR,2016-02-09,22.3,36.5,27.94,35.0,98.0,76.96,0.111,0.0,12.102,5.80896
PR,2016-02-10,20.4,37.7,28.09,12.0,86.0,53.21,0.74,0.0,13.93,6.6864
PR,2016-02-11,19.5,37.2,27.37,22.0,88.0,61.92,0.89,0.0,13.2,6.335999999999999
PR,2016-02-12,22.4,34.4,27.42,47.0,96.0,77.42,0.59,0.0,10.6,5.088
PR,2016-02-13,22.6,34.2,27.53,50.0,95.0,77.58,0.91,0.0,11.71,5.6208
PR,2016-02-14,22.1,34.1,27.18,60.0,98.0,84.67,0.315,0.0,12.031,5.7748800000000005
PR,2016-02-15,23.3,33.8,27.69,64.0,98.0,86.25,0.204,0.0,10.738,5.15424
PR,2016-02-16,23.9,35.7,28.47,58.0,98.0,84.71,0.37,0.0,11.772,5.65056
PR,2016-02-17,24.1,36.0,28.62,57.0,98.0,84.21,0.426,0.17,13.682,6.56736
PR,2016-02-18,24.3,36.2,28.72,61.0,97.0,84.46,0.667,0.0,12.606,6.050879999999999
PR,2016-02-19,23.7,36.1,28.7,58.0,98.0,83.08,0.389,0.0,13.762,6.60576
PR,2016-02-20,24.2,37.1,29.23,56.0,98.0,83.21,0.481,0.0,13.329,6.39792
PR,2016-02-21,25.1,37.3,29.43,48.0,97.0,82.5,0.315,0.0,12.315,5.911199999999999
