Tmin,Tmax,TEff,root_depth,ET0,tree_ei,qty_H2O_Vap,qty_H2O_C1,qty_H2O_C1minusVap,qty_H2O_C2,qty_H2O_C,FractionC1,FractionC2,SizeC1,SizeC2,SizeC,SizeVap,SizeC1minusVap,ftsw,rain_remain,rain_effective,runoff,timestep
-Inf,-Inf,8.872608695652175,1000.0,1.0,0.8,10.0,35.16150191831972,25.161501918319722,103.0310387289411,128.1925406472608,0.9767083866199923,0.9906830647013567,36.0,104.0,130.0,10.0,26.0,0.9860964665173909,0.0,0.0,0.0,78
-Inf,-Inf,8.838524590163933,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,12.418515647260818,14.225975000000002,1.5240249999999982,79
-Inf,-Inf,9.202884615384615,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.2,80
-Inf,-Inf,8.91909090909091,1000.0,1.0,0.8,10.0,35.16150191831972,25.161501918319722,103.0310387289411,128.1925406472608,0.9767083866199923,0.9906830647013567,36.0,104.0,130.0,10.0,26.0,0.9860964665173909,0.0,0.0,0.0,81
-Inf,-Inf,8.911788617886177,1000.0,1.0,0.8,10.0,34.88226916699195,24.882269166991943,102.7039978041856,127.58626697117755,0.9689519213053318,0.9875384404248616,36.0,104.0,130.0,10.0,26.0,0.9814328228552119,0.0,0.0,0.0,82
-Inf,-Inf,9.19954128440367,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,3.0428669711775456,5.4566,1.1433999999999997,83
-Inf,-Inf,9.265306122448978,1000.0,1.0,0.8,10.0,35.44087013706259,25.440870137062593,103.35603482995644,128.79690496701903,0.9844686149184052,0.9938080272111196,36.0,104.0,130.0,10.0,26.0,0.9907454228232233,0.0,0.0,0.0,84
-Inf,-Inf,8.73449612403101,1000.0,1.0,0.8,10.0,35.16150191831972,25.161501918319722,103.0310387289411,128.1925406472608,0.9767083866199923,0.9906830647013567,36.0,104.0,130.0,10.0,26.0,0.9860964665173909,0.0,0.0,0.0,85
-Inf,-Inf,9.016949152542374,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,41.79069064726082,43.598150000000004,1.901849999999996,86
-Inf,-Inf,8.979059829059828,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,11.453298667180277,12.053915000000002,1.496084999999999,87
-Inf,-Inf,9.130952380952381,1000.0,1.0,0.8,10.0,35.720370559424126,25.720370559424122,103.67901310775615,129.39938366718027,0.992232515539559,0.9969135875745784,36.0,104.0,130.0,10.0,26.0,0.9953798743629252,4.30638366718027,4.907,1.093,88
